T,TND,N,cohs,S,K,A,i,thresh
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,37,0.029392792294701146
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,38,0.030473718800784561
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,39,0.02851130669222713
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,40,0.03029570194582824
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,41,0.031569803289569986
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,42,0.03029570194582824
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,43,0.03029570194582824
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,44,0.029392792294701146
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,45,0.029392792294701146
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,46,0.027698176901491699
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,47,0.027698176901491699
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,48,0.02851130669222713
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,49,0.027698176901491699
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,50,0.02851130669222713
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,1,1.0332813910793166
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,2,1.0158530366158143
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,3,1.965789286469857
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,4,1.7060290744412703
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,5,1.6300900788008608
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,6,1.5861267741828715
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,7,1.6384993229262284
